gender,numYears,numRaters,numCourses,pepper,discipline,quality,helpfulness,clarity,easiness,raterInterest,area
female,11,29,5,no,Hum,1.482758621,1.517241379,1.448275862,2.068965517,2.4,Midwest
male,11,37,7,no,STEM,3,3.081081081,2.918918919,3.054054054,2.34375,Midwest
male,11,72,7,no,SocSci,3.8333333,3.8055556,3.8611112,2.6111112,3.6065574,Midwest
male,11,13,4,no,STEM,4.269230769,4.461538462,4.076923077,2.615384615,3.333333333,Midwest
female,2,20,2,no,SocSci,3.625,3.55,3.7,3.5,3.95,Midwest
female,2,11,3,no,Hum,3.3125,3.416666667,3.208333333,2.458333333,3.125,Midwest
female,3,22,2,yes,SocSci,4.295454545,4.318181818,4.272727273,3.954545455,3.590909091,Midwest
male,11,14,7,no,Hum,4,4,4,2.5,3.875,Midwest
male,2,14,4,yes,Hum,3.464285714,3.285714286,3.642857143,3.357142857,2.785714286,Midwest
female,11,13,3,yes,STEM,4.692307692,4.769230769,4.615384615,4.230769231,3.25,Midwest
female,8,39,5,no,Hum,2.58974359,2.641025641,2.538461538,3.923076923,3.105263158,Midwest
female,4,36,6,no,Hum,4.625,4.666666667,4.583333333,4.527777778,3.722222222,Midwest
female,11,19,6,no,Hum,2.3947368,2.2631578,2.5263157,1.7368422,3.0666666,Midwest
male,11,29,6,no,Hum,3.982758621,3.862068966,4.103448276,3.310344828,4.333333333,Midwest
male,8,15,2,yes,Pre-prof,4.166666667,4.266666667,4.066666667,3,3.357142857,Midwest
female,7,34,7,no,Hum,3.794117647,3.794117647,3.794117647,4.088235294,2.794117647,Midwest
male,11,28,6,yes,STEM,4.321428571,4.392857143,4.25,2.714285714,3.642857143,Midwest
male,3,10,3,no,SocSci,4.15,4.1,4.2,2.8,3.8,Midwest
female,1,19,4,yes,Hum,3.710526316,3.894736842,3.526315789,2.789473684,4.157894737,Midwest
male,11,24,5,no,Hum,3.854166667,3.875,3.833333333,3,4.227272727,Midwest
female,11,45,4,no,STEM,2.422222222,2.533333333,2.311111111,2.022222222,3.85,Midwest
female,11,10,2,no,Hum,3.1,3.5,2.7,3,2.8,Midwest
male,7,23,7,no,SocSci,2.630434783,3.173913043,2.086956522,3.173913043,3.65,Midwest
male,6,35,6,no,STEM,3.5625,3.4375,3.6875,3.375,2.8125,Midwest
male,11,23,4,no,STEM,2.586956522,2.608695652,2.565217391,2.695652174,2.333333333,Midwest
male,11,10,4,no,Hum,4.277777778,4.222222222,4.333333333,3.888888889,3.882352941,Midwest
male,11,85,7,no,SocSci,2.4941177,2.764706,2.2235293,2.0823529,3.2222223,Midwest
female,7,42,2,no,STEM,4.285714286,4.452380952,4.119047619,3.619047619,3.459459459,Midwest
female,11,67,3,no,SocSci,3.880597015,3.746268657,4.029850746,3.910447761,3.566666667,Midwest
male,11,35,4,no,STEM,2.671428571,2.885714286,2.457142857,1.971428571,3.64516129,Midwest
female,11,15,4,no,SocSci,3.966666667,3.8,4.133333333,3.4,3.307692308,Midwest
male,11,44,6,no,Hum,2.8295455,3.0227273,2.6363637,2.0454545,3.475,Midwest
male,1,14,2,yes,Hum,4.464285714,4.714285714,4.214285714,3.214285714,2.357142857,Midwest
male,11,14,5,no,Hum,3.5,3.2857144,3.7142856,3.2857144,3.2307692,Midwest
female,4,11,3,no,STEM,3.454545455,3.363636364,3.545454545,2.636363636,3.272727273,Midwest
female,11,30,4,no,Hum,3.55,3.666666667,3.433333333,1.966666667,4,Midwest
male,4,14,4,no,Pre-prof,4.178571429,4.071428571,4.285714286,3.142857143,4,Midwest
female,2,15,3,no,SocSci,3.666666667,3.866666667,3.466666667,3.533333333,3.466666667,Midwest
male,11,21,3,no,STEM,2.619047619,2.904761905,2.333333333,1.571428571,3.142857143,Midwest
male,7,26,5,no,Hum,4.115384615,4.230769231,4,2.884615385,4.32,Midwest
male,8,46,7,no,Hum,2.293478261,2.282608696,2.304347826,2.456521739,3.806451613,Midwest
male,6,20,3,no,STEM,3,3.4,2.6,2.3,3.05,Midwest
female,11,14,2,no,Hum,3.5,3.714285714,3.285714286,3.5,3.846153846,Midwest
male,11,38,4,no,Hum,4.526315789,4.473684211,4.578947368,3.131578947,4.029411765,Midwest
male,3,14,2,no,Pre-prof,2.392857,2.142857,2.642857,1.4285715,2.7142856,Midwest
female,11,10,1,yes,SocSci,4.6,4.7,4.5,4.5,3.4,Midwest
male,7,59,9,no,Hum,3.4745762,3.542373,3.4067798,2.3559322,3.5370371,Midwest
female,11,38,3,no,Hum,3.236842105,3.631578947,2.842105263,3.421052632,3.457142857,Midwest
female,8,26,7,yes,Hum,4.538461538,4.769230769,4.307692308,3.5,3.730769231,Midwest
male,7,18,4,no,Hum,4.111111111,4.222222222,4,3.666666667,4.176470588,Midwest
female,3,24,2,no,Pre-prof,4.08333,4.58333,3.58333,4.16667,2.625,Midwest
female,2,13,2,no,Hum,3.076923077,3.076923077,3.076923077,3.461538462,2.615384615,Midwest
female,3,10,5,no,STEM,2.9,3.2,2.6,3.1,1.9,Midwest
male,11,52,2,no,Hum,3.067307692,3.403846154,2.692307692,3.076923077,3.442307692,Midwest
female,5,10,2,no,Pre-prof,4.85,4.8,4.9,4,4.2,Midwest
female,11,54,4,no,STEM,3.555555556,3.555555556,3.555555556,2.5,2.607843137,Midwest
male,8,68,3,no,Pre-prof,3.9191177,4.25,3.5882354,2.9117646,2.919355,Midwest
female,11,21,3,no,Pre-prof,4.5,4.428571429,4.571428571,3.619047619,3.428571429,Midwest
male,6,11,5,no,Hum,4.318181818,4.545454545,4.090909091,4.363636364,4,Midwest
male,4,15,5,yes,SocSci,4.333333333,4.333333333,4.333333333,2.933333333,3.933333333,Midwest
male,5,25,3,no,STEM,3.482758621,3.482758621,3.482758621,3.206896552,3.896551724,Midwest
male,8,12,4,no,Pre-prof,2.9166667,3,2.8333333,2.3333333,3.75,Midwest
male,11,19,2,no,SocSci,3.421052632,3.578947368,3.263157895,4.368421053,3.277777778,Midwest
male,6,36,5,no,SocSci,2.916666667,3.138888889,2.694444444,3.5,2.861111111,Midwest
male,5,39,3,no,STEM,3.166666667,3.333333333,3,2.153846154,3.615384615,Midwest
male,10,28,5,no,Hum,3.6964285,3.7142856,3.6785715,3.642857,3.25,Midwest
female,11,16,2,no,Pre-prof,4.6875,4.625,4.75,3.5,3.1875,Midwest
male,6,19,1,no,Pre-prof,3.447368421,3.105263158,3.789473684,2.473684211,3,Midwest
male,4,12,3,no,Hum,2.958333333,2.833333333,3.083333333,2.5,3.5,Midwest
male,11,29,6,no,STEM,2.620689655,2.75862069,2.482758621,3.034482759,3.173913043,Midwest
male,6,50,2,yes,Pre-prof,4.64,4.56,4.72,3.94,4.16,Midwest
female,3,13,1,no,SocSci,2.730769231,2.230769231,3.230769231,3.461538462,2.923076923,Midwest
female,11,49,3,no,STEM,2.336734694,2.591836735,2.081632653,2.183673469,2.302325581,Midwest
male,11,11,4,no,Hum,4.727272727,4.909090909,4.545454545,4,2.9,Midwest
male,1,13,3,no,Hum,3.576923077,3.461538462,3.692307692,4.615384615,2.923076923,Midwest
female,11,21,7,no,Hum,4.880952381,4.952380952,4.80952381,4.80952381,3.428571429,Midwest
female,7,12,3,no,Hum,3.166666667,3.333333333,3,3.916666667,3.777777778,Midwest
male,11,57,5,no,Pre-prof,3.719298246,3.912280702,3.526315789,2.561403509,3.092592593,Midwest
male,11,42,7,no,SocSci,3.142857143,3.119047619,3.166666667,2.547619048,3.428571429,Midwest
male,11,67,6,no,STEM,4.231343284,4.164179104,4.298507463,4.164179104,2.650793651,Midwest
female,11,26,4,no,STEM,2.153846154,2.346153846,1.961538462,2.115384615,2.884615385,Midwest
male,6,15,4,no,STEM,2.646666667,2.8,2.533333333,2,3.2,Midwest
female,10,16,2,no,Hum,1.875,2.1875,1.5625,2.6875,2.666666667,Midwest
male,11,34,3,no,Pre-prof,2.720588235,2.764705882,2.676470588,2.647058824,3.03030303,Midwest
male,11,23,5,no,STEM,2.5652175,2.5652175,2.5652175,1.3913044,3.65,Midwest
female,9,19,3,no,Hum,2.394736842,2.684210526,2.105263158,1.789473684,2.842105263,Midwest
female,11,10,5,no,Hum,3.2,2.8,3.6,2,3,Midwest
female,9,20,3,no,Hum,4.025,3.95,4.1,2.65,3.8125,Midwest
male,10,43,2,no,Hum,4.790697674,4.720930233,4.860465116,4.604651163,3.432432432,Midwest
male,10,15,3,no,Hum,3.7,3.6,3.8,3.133333333,3.933333333,Midwest
male,9,23,5,no,Pre-prof,4.260869565,4.47826087,4.043478261,4.130434783,2.952380952,Midwest
female,3,12,4,yes,SocSci,3.7916667,3.5,4.0833335,3,3.8333333,Midwest
male,11,42,5,yes,Hum,4.392857143,4.5,4.285714286,3.166666667,3.516129032,Midwest
male,10,12,4,no,STEM,2.791666667,2.75,2.833333333,1.75,3,Midwest
female,11,39,4,no,STEM,3.6538463,4.076923,3.2307692,2.7948718,3.4210527,Midwest
male,11,36,3,no,Pre-prof,2.791666667,2.75,2.777777778,2.194444444,3.114285714,Midwest
female,4,21,1,no,STEM,2.619047619,3.19047619,2.047619048,2.523809524,2.904761905,Midwest
female,7,27,6,no,Hum,4.18,4.32,4.04,3.72,3.84,Midwest
male,11,23,10,no,Hum,4.239130435,4.434782609,4.043478261,2.826086957,3.333333333,Midwest
male,11,11,4,no,Hum,3.045454545,3.090909091,3,3.363636364,3.636363636,Midwest
male,1,10,3,no,STEM,2.8,2.9,2.7,2.4,2.7,Midwest
female,10,52,3,no,SocSci,4.076923077,4.076923077,4.076923077,3.423076923,3.659574468,Midwest
female,6,24,7,no,Hum,3.7291667,4.0416665,3.4166667,3.1666667,3.3333333,Midwest
male,7,10,2,no,SocSci,4.8,4.9,4.7,4.4,4.5,Midwest
male,8,11,6,no,Pre-prof,2.590909,2.6363637,2.5454545,2.2727273,3.6363637,Midwest
male,11,17,5,no,STEM,4.235294118,4.235294118,4.235294118,2.705882353,4.090909091,Midwest
female,9,53,7,no,Hum,2.79245283,2.698113208,2.886792453,2.735849057,2.913043478,Midwest
male,10,15,5,no,Hum,1.633333333,1.6,1.666666667,2.266666667,3.4,Midwest
female,9,50,5,no,SocSci,2.58,2.6,2.56,2.86,3.1,Midwest
female,5,36,9,no,Hum,3.347222222,3.333333333,3.361111111,3.5,3.5,Midwest
male,2,13,2,no,STEM,4.846153846,4.923076923,4.769230769,3.769230769,4.153846154,Midwest
male,11,21,4,no,Pre-prof,3.095238095,2.80952381,3.380952381,2.666666667,3.444444444,Midwest
female,9,13,6,no,SocSci,4.153846154,4.384615385,3.923076923,4.076923077,3.692307692,Midwest
female,11,10,3,no,Pre-prof,1.9,1.9,1.9,3.8,2.2,Midwest
male,10,17,2,no,STEM,3.5,3.294117647,3.705882353,2.823529412,2.875,Midwest
male,10,69,2,no,SocSci,3.086956522,3.420289855,2.753623188,3.579710145,3.019607843,Midwest
female,2,10,4,yes,Hum,4.7,4.7,4.7,3.7,3.4,Midwest
male,8,39,2,no,Pre-prof,4.294872,4.3846154,4.205128,3.7692308,3.0555556,Midwest
female,11,62,3,no,Pre-prof,3.491935484,3.612903226,3.370967742,2.467741935,2.966101695,Midwest
male,11,11,5,no,Pre-prof,3.954545455,4.363636364,3.545454545,3.636363636,2.909090909,Midwest
male,4,23,5,no,Hum,2.804347826,2.695652174,2.913043478,2.217391304,3.217391304,Midwest
female,11,29,4,no,STEM,2.655172414,2.689655172,2.620689655,2.655172414,4.068965517,Midwest
male,4,33,8,yes,STEM,3.878787879,4.03030303,3.727272727,3.515151515,3.303030303,Midwest
female,5,21,3,no,Pre-prof,2.619047619,2.714285714,2.523809524,3.619047619,3.411764706,Midwest
male,11,25,2,no,STEM,4.72,4.76,4.68,2.56,3.32,Midwest
male,11,56,4,no,SocSci,2.419642857,2.375,2.464285714,2.142857143,3.111111111,Midwest
male,11,65,4,no,Hum,3.469230769,3.353846154,3.584615385,3.061538462,3.280701754,Midwest
female,2,11,4,no,Pre-prof,3.181818182,3.272727273,3.090909091,3.545454545,3.363636364,Midwest
female,11,86,8,no,Hum,1.6744186,1.6860465,3.360465,1.5581396,2.8148148,Midwest
male,7,12,3,no,Pre-prof,3.166666667,3.166666667,3.25,3.583333333,3.5,Midwest
female,11,24,3,no,Pre-prof,4.861111111,4.833333333,4.888888889,4.722222222,4.647058824,Midwest
male,11,49,7,no,STEM,2.928571429,3.081632653,2.775510204,3.591836735,2.95,Midwest
female,11,22,5,no,Hum,4.545454545,4.545454545,4.545454545,3.5,3.818181818,Midwest
male,7,16,2,no,Hum,3.53125,3.3125,3.75,2.5625,3.8,Midwest
male,4,30,2,no,STEM,1.75,2.166666667,1.333333333,2.666666667,2.961538462,Midwest
female,4,15,2,no,Pre-prof,2.966667,3.066667,2.866667,2.666667,2.533333,Midwest
female,8,24,3,no,SocSci,4.574074074,4.703703704,4.444444444,2.888888889,3.833333333,Midwest
male,9,14,1,no,SocSci,4.178571429,4.142857143,4.214285714,2.428571429,3.785714286,Midwest
female,11,36,3,yes,STEM,4.5,4.555555556,4.444444444,3.305555556,3.65625,Midwest
female,7,14,5,yes,Hum,3.7857144,3.5,4.071429,3.2857144,3.7142856,Midwest
male,1,13,2,no,STEM,3.730769231,3.692307692,3.769230769,3.846153846,2.846153846,Midwest
female,11,47,8,no,STEM,3.43617,3.531915,3.3404255,4.744681,2.9148936,Midwest
female,8,25,8,no,Hum,3.76,3.84,3.68,2.92,3.631578947,Midwest
female,11,18,6,yes,Hum,4.6666665,4.888889,4.4444447,3.0555556,3.9375,Midwest
female,3,27,3,no,STEM,4.981481481,5,4.962962963,3.962962963,3.407407407,Midwest
female,11,46,4,no,Pre-prof,4.22826087,4.304347826,4.152173913,3.369565217,2.906976744,Midwest
female,11,85,3,no,SocSci,4.311764706,4.305882353,4.317647059,4.435294118,3.705882353,Midwest
female,7,32,3,no,Hum,3.21875,3.34375,3.09375,2.15625,2.9375,Midwest
male,11,57,3,yes,Hum,4.552631579,4.561403509,4.543859649,3.614035088,3.901960784,Midwest
female,11,10,5,no,Pre-prof,3.6,3.6,3.6,2.7,4.25,Midwest
male,9,36,8,no,Hum,3.5555556,3.7222223,3.3888888,2.7777777,3.2903225,Midwest
female,9,11,5,no,Pre-prof,1.909090909,1.909090909,1.909090909,2.272727273,2.545454545,Midwest
male,11,74,8,no,SocSci,2.621621622,2.662162162,2.581081081,2.175675676,3.21875,Midwest
female,4,28,3,no,Hum,3,3.074074074,2.851851852,3.592592593,3.148148148,Midwest
male,11,18,2,no,Hum,3.472222222,3.111111111,3.833333333,3.388888889,4,Midwest
female,11,26,8,no,Hum,3.5,3.807692308,3.192307692,3.692307692,3.153846154,Midwest
male,11,30,2,no,SocSci,4.4,4.366666667,4.433333333,4.133333333,4,Midwest
male,11,27,2,no,STEM,4.796296296,4.925925926,4.666666667,3.148148148,2.904761905,Midwest
male,11,31,2,no,Pre-prof,2.919354839,2.64516129,3.193548387,2.322580645,2.741935484,Midwest
female,2,14,4,no,Hum,2.107142857,1.928571429,2.285714286,2,3.166666667,Midwest
male,7,48,4,no,Pre-prof,4.0625,4.229166667,3.895833333,1.75,3.348837209,Midwest
female,11,27,4,no,Pre-prof,3.462962963,3.333333333,3.592592593,3.111111111,2.555555556,Midwest
female,11,69,3,no,Hum,2.7826087,3,2.5652175,3.768116,2.903226,Midwest
male,11,30,5,no,SocSci,2.7,2.866666667,2.533333333,1.633333333,3.192307692,Midwest
male,11,13,3,no,Pre-prof,2,2,2,2.846153846,2.769230769,Midwest
female,2,29,2,yes,Pre-prof,4.120689655,4.344827586,3.896551724,4.034482759,3.034482759,Midwest
male,11,43,3,no,STEM,4.918604651,5,4.837209302,3.279069767,3.047619048,Midwest
male,3,14,2,no,STEM,4.107142857,4.142857143,4.142857143,3.071428571,3,Midwest
male,11,24,5,no,Hum,4.25,4.458333333,4.041666667,2.791666667,3.181818182,Midwest
male,11,35,3,no,STEM,3.385714286,3.028571429,3.742857143,1.628571429,3.228571429,Midwest
male,7,14,2,no,SocSci,4.071428571,4.071428571,4.142857143,3.142857143,3.5,Midwest
male,10,12,2,no,STEM,2.375,2.416666667,2.333333333,2.75,2.090909091,Midwest
male,11,13,3,no,STEM,3.3076923,3.4615386,3.1538463,2.7692308,3.6923077,Midwest
female,9,28,3,no,Hum,4.732142857,4.857142857,4.607142857,4.5,3.333333333,Midwest
male,10,15,9,no,Hum,4.233333333,4.266666667,4.2,4.533333333,3.916666667,Midwest
male,11,23,8,yes,Hum,4.565217391,4.565217391,4.565217391,2.826086957,3.952380952,Midwest
female,5,26,6,no,SocSci,2.807692308,2.730769231,2.884615385,3.576923077,4.272727273,Midwest
male,9,47,7,no,SocSci,2.872340426,3.340425532,2.404255319,3.808510638,2.857142857,Midwest
male,11,30,10,no,STEM,2.85,2.933333333,2.766666667,2.2,3.724137931,Midwest
male,11,28,6,no,STEM,2.714285714,2.892857143,2.535714286,2.75,3.346153846,Midwest
male,6,14,7,no,Pre-prof,4.892857143,4.928571429,4.857142857,4.857142857,4,Midwest
female,11,11,2,no,Pre-prof,3.318181818,3.090909091,3.545454545,2.181818182,2.727272727,Midwest
male,6,16,2,no,Pre-prof,3.6875,3.8125,3.5625,3.4375,2.769230769,Midwest
male,11,11,2,no,STEM,4.045454545,4.090909091,4,3,2.909090909,Midwest
male,11,10,3,no,Pre-prof,3.1,3.5,2.7,1.9,2.5,Midwest
female,10,31,6,no,STEM,4.064516129,4.096774194,4.032258065,3.258064516,2.32,Midwest
male,11,11,6,no,STEM,3.727272727,4,3.454545455,3.272727273,4.181818182,Midwest
male,11,53,8,no,STEM,3.490566038,3.924528302,3.056603774,3,2.85106383,Midwest
male,3,12,3,yes,Hum,4.7083335,4.75,4.6666665,3.6666667,3.4166667,Midwest
female,8,17,5,no,Hum,3.470588235,3.529411765,3.411764706,3.294117647,2.875,Midwest
male,2,11,2,no,SocSci,3.409090909,3.454545455,3.363636364,3.818181818,3.090909091,Midwest
female,11,24,7,no,Hum,3.9583333,3.9166667,4,2.75,3.6666667,Midwest
male,8,38,5,no,STEM,3.960526316,4,3.921052632,2.578947368,3.2,Midwest
male,11,58,4,no,STEM,3.103448276,3.275862069,2.931034483,2.224137931,3.810344828,Midwest
female,10,21,3,no,Hum,2.523809524,2.428571429,2.619047619,1.857142857,2.45,Midwest
male,11,18,5,no,STEM,3.722222222,3.944444444,3.5,3.5,2.444444444,Midwest
male,11,16,3,no,Hum,2.0625,2.0625,2.0625,1.4375,2.9375,Midwest
male,11,37,5,no,STEM,3.067567568,3.108108108,3.027027027,2.189189189,3.028571429,Midwest
male,10,15,3,no,Hum,2.9,3.2,2.6,3.8,2.733333333,Midwest
male,8,33,4,no,Pre-prof,4.393939394,4.424242424,4.363636364,3.454545455,3.285714286,Midwest
male,11,33,3,no,STEM,4.666666667,4.757575758,4.575757576,3.212121212,3.35483871,Midwest
male,7,21,2,no,SocSci,4.571428571,4.571428571,4.571428571,4.238095238,4.095238095,Midwest
female,11,36,4,no,Hum,3.208333333,3.222222222,3.194444444,2.083333333,2.647058824,Midwest
male,11,54,6,yes,Hum,4.518518519,4.518518519,4.518518519,4.074074074,4.340909091,Midwest
female,11,10,4,no,Hum,4.1,4.1,4.1,2.6,3.3,Midwest
female,8,80,8,no,STEM,2.0875,2.375,1.8,2.3875,2.733333333,Midwest
female,11,32,4,no,SocSci,4.5625,4.46875,4.65625,3.875,4.266666667,Midwest
male,3,18,2,no,Hum,4.416666667,4.611111111,4.222222222,3.111111111,3.5,Midwest
female,9,10,1,no,Pre-prof,4.05,3.9,4.2,4.9,3.2,Midwest
female,10,54,3,no,Hum,4.305555556,4.259259259,4.351851852,3.203703704,2.92,Midwest
male,11,19,7,no,Hum,4.684210526,4.684210526,4.684210526,4.473684211,4.214285714,Midwest
female,3,24,4,no,Pre-prof,1.9375,2.25,1.625,2.333333333,2.5625,Midwest
male,9,41,5,no,STEM,3.329268293,3.512195122,3.146341463,3,3.028571429,Midwest
male,11,30,5,no,SocSci,3.3666666,3.5666666,3.1666667,2.3666666,3.2962964,Midwest
female,5,23,3,no,SocSci,3.173913043,3.130434783,3.217391304,3.173913043,4.086956522,Midwest
male,11,29,3,no,STEM,3.103448276,3.172413793,3.034482759,2.75862069,2.962962963,Midwest
male,11,57,7,no,STEM,2.50877193,2.561403509,2.473684211,3.01754386,2.350877193,Midwest
male,3,29,4,no,Hum,3.913793103,3.965517241,3.862068966,2.965517241,4.32,Midwest
female,7,39,5,yes,SocSci,4.115384615,4.179487179,4.051282051,2.41025641,3.828571429,Midwest
female,10,56,2,no,SocSci,4.544643,4.517857,4.571429,4.303571,3.2857144,Midwest
female,4,31,3,yes,Hum,4.709677419,4.806451613,4.612903226,3.64516129,3.870967742,Midwest
male,10,14,5,no,SocSci,1.604166667,1.5,1.708333333,2.083333333,2.454545455,Midwest
male,11,53,3,no,SocSci,4.4905663,4.283019,4.6981134,3.6037736,3.4285715,Midwest
male,11,17,9,no,STEM,2.529411765,2.411764706,2.647058824,2.235294118,3.333333333,Midwest
female,8,26,8,yes,Hum,4.653846154,4.615384615,4.692307692,4.076923077,3.55,Midwest
male,3,32,3,yes,Pre-prof,4.25,4.21875,4.28125,4.125,3.09375,Midwest
male,3,27,5,yes,Hum,4.944444444,4.962962963,4.925925926,3.703703704,3.592592593,Midwest
male,11,52,6,no,STEM,3.451923077,3.596153846,3.269230769,3.692307692,2.787234043,Midwest
female,11,57,4,no,SocSci,2.7280703,2.5263157,2.9298246,2.6842105,2.9574468,Midwest
male,11,31,4,no,SocSci,1.467741935,1.483870968,1.451612903,2.483870968,3.225806452,Midwest
male,11,19,5,no,STEM,3.684210526,3.947368421,3.421052632,2.157894737,3,Midwest
male,11,45,8,no,Hum,3.388888889,3.711111111,3.111111111,2.844444444,3.185185185,Midwest
female,11,31,4,no,SocSci,2.435483871,2.451612903,2.419354839,1.870967742,3.357142857,Midwest
male,11,32,5,no,STEM,4.015625,3.9375,4.09375,4.40625,2.28125,Midwest
female,2,17,5,no,STEM,2.352941176,2.411764706,2.294117647,2,2.470588235,Midwest
male,10,21,5,yes,Pre-prof,4.904761905,4.857142857,4.952380952,4.80952381,3.894736842,Midwest
female,11,16,6,no,Hum,2.4375,2.375,2.5,3.1875,3.0625,Midwest
male,8,32,4,yes,STEM,4.921875,5,4.84375,3.8125,2.9,Midwest
male,11,14,1,no,STEM,3.821428571,4.071428571,3.571428571,3.214285714,3.357142857,Midwest
female,9,53,4,no,Pre-prof,3.58490566,3.41509434,3.754716981,3.037735849,2.825,Midwest
male,11,19,7,no,Hum,4.184210526,4.368421053,4,3.631578947,3.526315789,Midwest
female,11,18,5,no,STEM,2.75,2.777777778,2.722222222,2.444444444,3.588235294,Midwest
female,4,13,5,no,Hum,3.461538462,3.307692308,3.615384615,2.923076923,3.153846154,Midwest
female,11,15,3,no,Hum,2.2,2,2.4,2.4,2.769230769,Midwest
male,11,30,3,no,STEM,4.066666667,3.9,4.233333333,2.933333333,3.413793103,Midwest
male,11,65,3,no,STEM,1.915384615,2.076923077,1.723076923,2.107692308,2.122807018,Midwest
male,11,62,5,no,STEM,3.338709677,3.64516129,3.048387097,3.193548387,2.796610169,Midwest
female,11,12,3,yes,Hum,4.458333333,4.5,4.416666667,4.166666667,3.75,Midwest
male,11,16,3,no,Hum,2.25,2.0625,2.4375,2.8125,3.2,Midwest
male,11,24,3,yes,Pre-prof,4.5625,4.791666667,4.333333333,3.666666667,3.863636364,Midwest
female,9,36,6,no,Hum,3.833333333,3.805555556,3.861111111,2.638888889,3.166666667,Midwest
female,11,24,2,no,SocSci,4.083333333,3.958333333,4.208333333,3.333333333,2.708333333,Midwest
male,9,13,6,no,Hum,3.538461538,3.461538462,3.615384615,3.230769231,3.8,Midwest
female,11,26,5,no,Hum,3.442307692,3.346153846,3.5,4.038461538,1.098039216,Midwest
female,1,32,4,no,SocSci,2.171875,2.4375,1.90625,4.09375,3.28125,Midwest
female,11,32,4,no,SocSci,3.34375,3.21875,3.46875,2.71875,2.586207,Midwest
female,4,27,3,no,SocSci,2,1.962962963,2.037037037,3.185185185,2.740740741,Midwest
female,11,35,3,no,SocSci,3.742857143,3.714285714,3.771428571,2.885714286,3.483870968,Midwest
male,6,40,6,no,STEM,2.2875,2.45,2.125,1.9,3.375,Midwest
female,7,30,4,no,STEM,4.233333333,4.366666667,4.1,2.933333333,3.366666667,Midwest
female,11,51,3,no,SocSci,3.68627451,3.68627451,3.68627451,2.764705882,3.5,Midwest
male,11,13,3,no,STEM,3.038461538,3.384615385,2.692307692,2.230769231,4,Midwest
male,8,67,4,no,SocSci,4.216418,4.1044774,4.328358,2.5373135,3.5,Midwest
male,8,20,6,no,STEM,3.95,3.9,4,3.2,2.95,Midwest
female,7,16,5,yes,Hum,4.625,4.8125,4.4375,3.0625,4.5333333,Midwest
male,10,34,2,yes,Hum,4.8382354,4.8235292,4.852941,4.6764708,4.71875,Midwest
male,2,10,2,no,Pre-prof,4.2,4.6,4.2,2.4,3.9,Midwest
male,11,56,6,no,SocSci,2.535714286,2.446428571,2.625,2.5,2.365853659,Midwest
